heuristic,72.124,50.8875184193,66.323,60.4558528834,61.857,59.4823928725,75.21,60.6928074256,94.701,80.6692103446
vi,89.694,80.816077437,65.497,57.4768366384,65.222,63.3865798194,59.669,54.4714759375,64.839,63.00873631
vi,108.003,99.8836366528,59.394,57.7214370282,50.082,50.4642594165,48.819,49.1016148016,61.823,61.0553089344
heuristic,141.034,106.527476405,60.417,54.6627559032,60.156,58.6579215993,46.56,45.4551556484,103.891,91.4105386417
heuristic,68.346,55.3884456995,181.225,141.933622836,68.995,59.4722080878,53.25,51.7814741603,76.355,71.7346274378
vi,159.547,118.74470804,126.382,93.0021686242,51.312,49.5612340086,52.979,51.3592112022,61.404,59.0970244432
vi,111.306,87.2232831723,70.433,56.9850950975,50.568,49.2070247982,48.089,45.140562056,67.58,59.260546048
heuristic,62.486,51.6490971454,62.235,59.7270242763,60.008,58.3558302579,68.314,56.7876445257,105.045,91.5504966892
vi,60.152,55.8359337104,64.054,56.4195559718,55.13,51.8593942722,49.971,46.1326339022,63.25,60.9720277236
vi,55.999,50.0472500374,77.088,70.6358237716,49.803,50.7041198093,61.688,55.1577762127,60.257,60.6306045867
