0,45,5,43,14.75,14.75,38.5109,14.75,14.75,21.5021,14.75,14.75,17.0087,14.75,14.75,16.1886,14.75,14.75,15.9893
1,1,4,0,7.25,7.25,19.888,7.25,7.25,12.4884,7.25,7.25,9.02911,7.25,7.25,8.52157,7.25,7.25,8.36581
2,47,11,41,29.2002,220.002,18.0309,14.5002,14.5002,16.1789,14.5002,14.5002,15.894,14.5002,14.5002,15.8357,14.5002,14.5002,15.8239
3,20,10,12,161.601,301.002,174.751,14.8002,14.75,52.7173,14.8002,14.75,23.8963,29.2503,14.75,18.0498,14.8002,14.75,16.7391
4,4,12,17,22.1,22.1,65.6677,22.1,22.1,32.5825,22.1,22.1,25.9982,22.1,22.1,24.0841,22.1,22.1,23.6478
5,4,2,13,21.9002,21.9002,52.4529,21.9002,21.9002,27.7102,21.9002,21.9002,24.4426,21.9002,21.9002,23.4844,21.9002,21.9002,23.3149
6,48,12,45,22.05,22.05,27.0634,22.05,22.05,24.0244,22.05,22.05,23.2228,22.05,22.05,23.0924,22.05,22.05,23.0592
7,0,14,31,80.6507,51.6005,153.888,51.5503,51.6005,69.3483,51.6005,51.6005,57.1841,51.6005,51.6005,54.2376,51.6005,51.6005,53.4012
8,47,4,17,103.05,44.15,126.978,44.15,44.15,60.3514,44.15,44.15,49.2646,44.15,44.15,46.738,44.15,44.15,46.055
9,41,7,9,73.6005,301.352,132.798,59.1503,301.552,78.9582,59.1503,59.1503,65.4263,59.1503,59.1503,62.3165,59.1503,59.1503,61.5271
10,21,1,16,301.102,300.902,91.7965,22.05,300.502,35.6899,22.05,22.05,26.9365,22.05,22.05,24.6561,22.05,22.05,24.027
11,6,10,26,301.303,29.4503,70.8186,300.802,29.4503,39.1485,29.4503,29.4503,33.1152,29.4503,29.4503,31.2289,29.4503,29.4503,30.8098
12,11,1,34,124.901,37.0003,126.368,139.501,168.701,63.1999,228.051,37.0003,45.4159,37.0003,37.0003,40.717,37.0003,37.0003,39.5015
13,24,14,39,22.15,22.15,66.0154,36.95,22.15,32.3966,22.15,22.15,25.9464,22.15,22.15,24.1407,22.15,22.15,23.6877
14,3,1,48,124.651,66.15,126.408,80.8507,66.15,82.979,66.1507,66.15,72.7814,66.15,80.95,69.922,66.1507,66.15,68.6615
15,15,6,2,22.05,22.05,36.3453,22.05,198.151,27.3421,22.05,36.55,23.8385,22.05,22.05,23.4222,22.05,22.05,23.2897
16,1,11,7,14.55,14.55,26.3624,14.5002,14.55,18.0251,14.5002,14.55,16.1736,14.5002,14.55,15.889,14.55,14.55,15.6558
17,26,1,43,51.45,51.45,84.3601,51.45,51.45,60.0941,65.9503,51.45,54.9576,51.45,51.45,53.6418,51.45,51.45,53.3088
